symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,yahoo_symbol,yahoo_symbol_status,yahoo_symbol_checked_at,yahoo_symbol_note,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,source_section,source_market,source_industry,source_description,source_url
00810.HK,中国鋳晨81 チャイナ キャストソン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00810;中国鋳晨81 チャイナ キャストソン;中国内で業務を行う中華系企業への投資;金融サービス,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0810.HK,generated,,,Hong Kong,HKEX,00810,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,金融サービス,中国内で業務を行う中華系企業への投資,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00811.HK,新華文軒 シンファウィンシェア,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00811;新華文軒 シンファウィンシェア;書籍の販売事業のほか;教材を中心に出版事業も手がける。四川省を拠点に事業範囲を拡大;小売・輸出入,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0811.HK,generated,,,Hong Kong,HKEX,00811,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,小売・輸出入,書籍の販売事業のほか、教材を中心に出版事業も手がける。四川省を拠点に事業範囲を拡大,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00813.HK,世茂集団 シーマオグループ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00813;世茂集団 シーマオグループ;中国の不動産開発大手。上海;北京;哈爾濱;南京;福州など発展目覚ましい地域を中心に事業展開;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0813.HK,generated,,,Hong Kong,HKEX,00813,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,中国の不動産開発大手。上海、北京、哈爾濱、南京、福州など発展目覚ましい地域を中心に事業展開,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00814.HK,京客隆 ジンカーロン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00814;京客隆 ジンカーロン;北京市を中心にチェーンスーパーやコンビニエンスストアを展開する;食品,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0814.HK,generated,,,Hong Kong,HKEX,00814,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,食品,北京市を中心にチェーンスーパーやコンビニエンスストアを展開する,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00817.HK,中国金茂 チャイナ ジンマオ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00817;中国金茂 チャイナ ジンマオ;中国で主に商業物件の開発を手がける不動産デベロッパー;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0817.HK,generated,,,Hong Kong,HKEX,00817,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,中国で主に商業物件の開発を手がける不動産デベロッパー,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00818.HK,高陽科技 ハイサンテク,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00818;高陽科技 ハイサンテク;IT製品の販売;インテグレーションサービスや情報システムを提供;ソフトウェア,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0818.HK,generated,,,Hong Kong,HKEX,00818,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,ソフトウェア,IT製品の販売、インテグレーションサービスや情報システムを提供,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00819.HK,天能動力 ティエンノンパワー,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,automotive,consumer,00819;天能動力 ティエンノンパワー;電動自転車向けの電池メーカー。中国で動力電池の生産を中心に業務を展開;自動車,none,,,,standard,automotive,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0819.HK,generated,,,Hong Kong,HKEX,00819,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,自動車,電動自転車向けの電池メーカー。中国で動力電池の生産を中心に業務を展開,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00821.HK,匯盈控股 ブイシーホールディングス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,financial,financial,00821;匯盈控股 ブイシーホールディングス;証券・先物・オプション取引仲介業務;投資助言業務等に携わる;金融サービス,none,,,,standard,financial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0821.HK,generated,,,Hong Kong,HKEX,00821,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,金融サービス,証券・先物・オプション取引仲介業務、投資助言業務等に携わる,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00822.HK,嘉瑞国際 カシュイインターナショナル,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,automotive,consumer,00822;嘉瑞国際 カシュイインターナショナル;自動車部品向けやデジタル家電向けのダイキャスト製品製造を手がける;金属・鉱業,none,,,,standard,automotive,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0822.HK,generated,,,Hong Kong,HKEX,00822,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,金属・鉱業,自動車部品向けやデジタル家電向けのダイキャスト製品製造を手がける,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00825.HK,新世界百貨 ニューワールドデパート,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00825;新世界百貨 ニューワールドデパート;中国のデパートチェーン大手;小売,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0825.HK,generated,,,Hong Kong,HKEX,00825,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,小売,中国のデパートチェーン大手,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00826.HK,天工国際 ティアンゴン インターナショナル,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,industrial,industrial,00826;天工国際 ティアンゴン インターナショナル;工具鋼の一種である高速度鋼の製造及び金型の製造販売を手がける;金属・鉱業,none,,,,standard,industrial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0826.HK,generated,,,Hong Kong,HKEX,00826,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,金属・鉱業,工具鋼の一種である高速度鋼の製造及び金型の製造販売を手がける,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00827.HK,玖源生態 コーヨー ケミカル,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,industrial,industrial,00827;玖源生態 コーヨー ケミカル;中国大陸で化学肥料の研究開発（R&D);製造;販売に従事;その他,none,,,,standard,industrial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0827.HK,generated,,,Hong Kong,HKEX,00827,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,その他,中国大陸で化学肥料の研究開発（R&D)、製造、販売に従事,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00828.HK,王朝酒業 オウチョウ ワイン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00828;王朝酒業 オウチョウ ワイン;中国三大ワインの一つである「王朝（ダイナスティ）ワイン」を製造販売;食品,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0828.HK,generated,,,Hong Kong,HKEX,00828,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,食品,中国三大ワインの一つである「王朝（ダイナスティ）ワイン」を製造販売,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00829.HK,神冠(Shenguan) シェングアン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00829;神冠(Shenguan) シェングアン;食用コラーゲンを原料とするソーセージの表皮部分（ケーシング）を製造販売;食品,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0829.HK,generated,,,Hong Kong,HKEX,00829,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,食品,食用コラーゲンを原料とするソーセージの表皮部分（ケーシング）を製造販売,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00830.HK,中国建築興業 チャイナステートコンストラクション,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00830;中国建築興業 チャイナステートコンストラクション;不動産開発向けのファサード（建築物外面のデザイン）に関するワンストップ・ソリューションの提供;建設・ビル建材,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0830.HK,generated,,,Hong Kong,HKEX,00830,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,建設・ビル建材,不動産開発向けのファサード（建築物外面のデザイン）に関するワンストップ・ソリューションの提供,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00831.HK,利亜零售 コンビニエンス アジア,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00831;利亜零售 コンビニエンス アジア;コンビニエンスストアチェーン経営;小売・輸出入,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0831.HK,generated,,,Hong Kong,HKEX,00831,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,小売・輸出入,コンビニエンスストアチェーン経営,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00832.HK,建業地産 セントラルリアルエステート,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00832;建業地産 セントラルリアルエステート;中国の河南省で不動産開発を手がける;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0832.HK,generated,,,Hong Kong,HKEX,00832,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,中国の河南省で不動産開発を手がける,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00833.HK,華訊(Alltronics) オールトロニクス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00833;華訊(Alltronics) オールトロニクス;香港の家電メーカー;電気・電子,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0833.HK,generated,,,Hong Kong,HKEX,00833,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,電気・電子,香港の家電メーカー,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00834.HK,康大食品 カンダ フード,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00834;康大食品 カンダ フード;即席めん;レトルトカレー製品;食肉加工品などの製造販売;食品・飲料水,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0834.HK,generated,,,Hong Kong,HKEX,00834,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,食品・飲料水,即席めん、レトルトカレー製品、食肉加工品などの製造販売,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00836.HK,華潤電力 チャイナ リソーシズ パワー,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,utilities,utilities,00836;華潤電力 チャイナ リソーシズ パワー;大手コングロマリット華潤グループの電力事業を統括する持株会社。電力需要の伸びが高い地域を中心に発電所を保有。中国で主に火力発電所への投資運営を行っている;電力・ガス,none,,,,standard,utilities,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0836.HK,generated,,,Hong Kong,HKEX,00836,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,電力・ガス,大手コングロマリット華潤グループの電力事業を統括する持株会社。電力需要の伸びが高い地域を中心に発電所を保有。中国で主に火力発電所への投資運営を行っている,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00837.HK,譚木匠 カーペンタータン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,industrial,industrial,00837;譚木匠 カーペンタータン;高級木工製品の製造販売;その他,none,,,,standard,industrial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0837.HK,generated,,,Hong Kong,HKEX,00837,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,その他,高級木工製品の製造販売,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00838.HK,億和精密 イーブイエイ ホールディングス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,balanced,consumer,00838;億和精密 イーブイエイ ホールディングス;精密機器用のモールド設計;組み立て;金属・鉱業,none,,,,standard,balanced,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0838.HK,generated,,,Hong Kong,HKEX,00838,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,金属・鉱業,精密機器用のモールド設計、組み立て,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00840.HK,天業節水 ティアンイ ウォーター,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,industrial,industrial,00840;天業節水 ティアンイ ウォーター;中国でかんがい設備の製造・設置などを手がける;インフラストラクチャー,none,,,,standard,industrial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0840.HK,generated,,,Hong Kong,HKEX,00840,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,インフラストラクチャー,中国でかんがい設備の製造・設置などを手がける,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00841.HK,亜洲木薯資源 アジア キャッサバ リソーシズ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00841;亜洲木薯資源 アジア キャッサバ リソーシズ;バイオエタノール燃料や飼料などの原料となるキャッサバ片の取扱い;食品・飲料水,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0841.HK,generated,,,Hong Kong,HKEX,00841,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,食品・飲料水,バイオエタノール燃料や飼料などの原料となるキャッサバ片の取扱い,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00842.HK,理士国際 レオチインターナショナル,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,industrial,industrial,00842;理士国際 レオチインターナショナル;中国の蓄電池メーカー;一般製造,none,,,,standard,industrial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0842.HK,generated,,,Hong Kong,HKEX,00842,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,一般製造,中国の蓄電池メーカー,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00845.HK,恒盛地産 グロリアスプロパティ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00845;恒盛地産 グロリアスプロパティ;中国で不動産開発を展開;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0845.HK,generated,,,Hong Kong,HKEX,00845,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,中国で不動産開発を展開,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00846.HK,明発集団 ミンファ グループ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,real_estate,real_estate,00846;明発集団 ミンファ グループ;福建省;江蘇省を拠点に不動産開発に従事;不動産,none,,,,standard,real_estate,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0846.HK,generated,,,Hong Kong,HKEX,00846,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,不動産,福建省、江蘇省を拠点に不動産開発に従事,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00848.HK,茂業国際 マオイエインター,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,consumer,consumer,00848;茂業国際 マオイエインター;中国の華南;西南部を中心に百貨チェーン店を展開;小売,none,,,,standard,consumer,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0848.HK,generated,,,Hong Kong,HKEX,00848,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,小売,中国の華南、西南部を中心に百貨チェーン店を展開,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00851.HK,盛源 シェンユアン,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,industrial,industrial,00851;盛源 シェンユアン;アダプター;環型アダプター;EIアダプター;関連付属品;プラスチック鋳型;電器製品の製造販売;金属・鉱業,none,,,,standard,industrial,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0851.HK,generated,,,Hong Kong,HKEX,00851,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,金属・鉱業,アダプター、環型アダプター、EIアダプター、関連付属品、プラスチック鋳型、電器製品の製造販売,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00852.HK,海峡石油化工 ストロング ペトロケミカル,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,energy,energy,00852;海峡石油化工 ストロング ペトロケミカル;石油製品の取引;石油・石油化学製品,none,,,,standard,energy,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0852.HK,generated,,,Hong Kong,HKEX,00852,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,石油・石油化学製品,石油製品の取引,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00853.HK,微創医療 マイクロポート サイエンティフィック,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,healthcare,healthcare,00853;微創医療 マイクロポート サイエンティフィック;中国の医療機器開発メーカー;ヘルスケア・バイオテクノロジー,none,,,,standard,healthcare,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0853.HK,generated,,,Hong Kong,HKEX,00853,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,ヘルスケア・バイオテクノロジー,中国の医療機器開発メーカー,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00855.HK,中国水務集団 チャイナウォーターアフェアーズ,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00855;中国水務集団 チャイナウォーターアフェアーズ;給水;水処理サービス。ほか電子製品;電子部品の製造販売;電力・ガス,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0855.HK,generated,,,Hong Kong,HKEX,00855,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,電力・ガス,給水、水処理サービス。ほか電子製品、電子部品の製造販売,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
00856.HK,偉仕佳杰 ブイエステックス,hong_kong,stock,HKD,sbi_securities,tradable,unknown,lump_sum,true,true,false,false,technology,technology,00856;偉仕佳杰 ブイエステックス;IT製品の販売;IT,none,,,,standard,technology,WARN,MEDIUM,sbi_hk_stock,2026-07-10,2026-07-10T22:44:43.438021+09:00,0856.HK,generated,,,Hong Kong,HKEX,00856,Hong Kong,HKD,HKD,HKD,HKDJPY,china_hk,MEDIUM,unknown,WARN,sbi_official_list_imported;market_metrics_missing,tradable,2026-07-10,sbi_hk_stock,confirmed,true,2026-07-10,sbi_hk_stock,普通株式一覧,メインボード,IT,IT製品の販売,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_hk_list.html
