symbol,name,market,asset_type,currency,broker,tradability,nisa_category,investment_style,is_sbi_supported,is_active,is_leveraged,is_inverse,theme,sector,aliases,dividend_category,market_cap_tier,index_family,expense_ratio_pct,complexity,tags,data_quality,risk_band,metadata_source,metadata_as_of,metadata_updated_at,yahoo_symbol,yahoo_symbol_status,yahoo_symbol_checked_at,yahoo_symbol_note,country,exchange,local_symbol,primary_listing_country,trading_currency,settlement_currency,quote_currency,fx_pair_to_jpy,foreign_market_group,country_risk_band,liquidity_tier,asset_class,region_exposure,is_hedged,smai_theme_tags,foreign_data_quality,foreign_data_quality_reasons,sbi_foreign_tradability,sbi_foreign_tradability_as_of,sbi_foreign_tradability_source,sbi_tradability_status,sbi_tradability_verified,sbi_tradability_as_of,sbi_tradability_source,nisa_growth_status,nisa_growth_verified,nisa_growth_as_of,nisa_growth_source,nisa_growth_eligible,nisa_tsumitate_status,nisa_tsumitate_verified,nisa_tsumitate_as_of,nisa_tsumitate_source,nisa_tsumitate_eligible,source_section,source_market,source_description,source_expense_ratio_pct,source_management_company,source_nisa_growth,source_url
HYDR,グローバルＸ 水素テック ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,HYDR;グローバルＸ 水素テック ETF;ソラクティブ・グローバル・ハイドロゲン・インデックスに連動する運用実績を目指す。同指数は、水素技術のさらなる進歩から利益を得ることができる企業で構成される。;グローバルエックス・マネジメント;NASDAQ,none,,,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,HYDR,generated,,,United States,NASDAQ,HYDR,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,ソラクティブ・グローバル・ハイドロゲン・インデックスに連動する運用実績を目指す。同指数は、水素技術のさらなる進歩から利益を得ることができる企業で構成される。,,グローバルエックス・マネジメント,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
HYEM,ヴァンエック ベクトル 新興国ハイイールド債ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,index,index,HYEM;ヴァンエック ベクトル 新興国ハイイールド債ETF;BofA Merrill LynchハイイールドUSエマージング・マーケッツ・リキッド・コーポレート・プラス・インデックスの価格と利回り（手数料と経費控除前）にできるだけ連動する運用実績を目指します。;ヴァン・エック・グローバル;NYSE Arca,none,,emerging,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.419571+09:00,HYEM,generated,,,United States,NYSEARCA,HYEM,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,emerging,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,BofA Merrill LynchハイイールドUSエマージング・マーケッツ・リキッド・コーポレート・プラス・インデックスの価格と利回り（手数料と経費控除前）にできるだけ連動する運用実績を目指します。,,ヴァン・エック・グローバル,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
HYG,iシェアーズ iBoxx 米ドル建てハイイールド社債 ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,bond,index,HYG;iシェアーズ iBoxx 米ドル建てハイイールド社債 ETF;インターナショナル・インデックス・カンパニー・リミテッドが作成する社債市場インデックスであるiBoxx 米ドル建てリキッド・ハイイールド・インデックスの価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。;ブラックロック･ファンド・アドバイザーズ;NYSE Arca,none,,bond,,standard,"index,bond",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,HYG,generated,,,United States,NYSEARCA,HYG,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,bond,global,unknown,"index,bond",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,インターナショナル・インデックス・カンパニー・リミテッドが作成する社債市場インデックスであるiBoxx 米ドル建てリキッド・ハイイールド・インデックスの価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。,,ブラックロック･ファンド・アドバイザーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
HYLS,ファーストトラスト（FT）タクティカル ハイイールド ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,balanced,index,HYLS;ファーストトラスト（FT）タクティカル ハイイールド ETF;インカムゲインおよびキャピタルゲインの提供を目的とするETF;ファーストトラスト;NASDAQ,dividend,,,,standard,"index,dividend,high_dividend",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,HYLS,generated,,,United States,NASDAQ,HYLS,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,"index,dividend,high_dividend",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,インカムゲインおよびキャピタルゲインの提供を目的とするETF,,ファーストトラスト,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
HYZD,ウィズダムツリー 米国ハイイールド社債ファンド（金利ヘッジ型）,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,bond,index,HYZD;ウィズダムツリー 米国ハイイールド社債ファンド（金利ヘッジ型）;バンクオブアメリカ・メリルリンチ・ユーエス・ハイ・イールド・コンストレインド・ゼロ・デュレーション・インデックス（0-5年）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を目指す。;ウィズダムツリー・アセット・マネジメント;NASDAQ,none,,bond,,standard,"index,bond",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,HYZD,generated,,,United States,NASDAQ,HYZD,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,bond,us,unknown,"index,bond",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,バンクオブアメリカ・メリルリンチ・ユーエス・ハイ・イールド・コンストレインド・ゼロ・デュレーション・インデックス（0-5年）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を目指す。,,ウィズダムツリー・アセット・マネジメント,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IAU,iシェアーズ ゴールド・トラスト,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,commodity,index,IAU;iシェアーズ ゴールド・トラスト;金地金価格の日々の変動におおむね対応することを目標としています。当トラストの目標は、常に当該時点でトラストが保有する金の価格からトラストの費用および負債を控除した値を反映させることです。;iシェアーズ・デラウェア・トラスト・スポンサー・エルエルシー;NYSE Arca,none,,commodity,,standard,"index,commodity",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IAU,generated,,,United States,NYSEARCA,IAU,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,commodity,global,unknown,"index,commodity",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,金地金価格の日々の変動におおむね対応することを目標としています。当トラストの目標は、常に当該時点でトラストが保有する金の価格からトラストの費用および負債を控除した値を反映させることです。,,iシェアーズ・デラウェア・トラスト・スポンサー・エルエルシー,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IAGG,iシェアーズコア 世界総合債券市場 ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,bond,index,IAGG;iシェアーズコア 世界総合債券市場 ETF;米ドル建て債券を除くグローバル投資適格債を投資対象としながら、各通貨と米ドル間の為替変動リスクの軽減を図る指数と同等水準の投資成果を目指す。;ブラックロック･ファンド・アドバイザーズ;Cboe,none,,bond,,standard,"index,bond",WARN,LOW,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IAGG,generated,,,United States,Cboe,IAGG,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,bond,global,unknown,"index,bond",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,Cboe,米ドル建て債券を除くグローバル投資適格債を投資対象としながら、各通貨と米ドル間の為替変動リスクの軽減を図る指数と同等水準の投資成果を目指す。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IBB,iシェアーズ バイオテクノロジー ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,technology,index,IBB;iシェアーズ バイオテクノロジー ETF;一般にNYSE バイオテクノロジー指数によって代表されるバイオテクノロジーおよび医薬関連銘柄の価格、および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。;ブラックロック･ファンド・アドバイザーズ;NASDAQ,none,,sector,,standard,"index,technology",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IBB,generated,,,United States,NASDAQ,IBB,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,"index,technology",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,一般にNYSE バイオテクノロジー指数によって代表されるバイオテクノロジーおよび医薬関連銘柄の価格、および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
ICLN,iシェアーズ グローバル・クリーンエネルギー ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,energy,index,ICLN;iシェアーズ グローバル・クリーンエネルギー ETF;iシェアーズ S&P グローバル・クリーンエネルギー・インデックス・ファンドは、S&P グローバル・クリーンエネルギー指数の価格および利回りの実績と同等水準の投資成果（報酬および経費控除前）を目指しています。;ブラックロック･ファンド・アドバイザーズ;NASDAQ,none,,sector,,standard,"index,energy",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,ICLN,generated,,,United States,NASDAQ,ICLN,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,"index,energy",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,iシェアーズ S&P グローバル・クリーンエネルギー・インデックス・ファンドは、S&P グローバル・クリーンエネルギー指数の価格および利回りの実績と同等水準の投資成果（報酬および経費控除前）を目指しています。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IDEV,iシェアーズ MSCI 先進国（除く米国） ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,IDEV;iシェアーズ MSCI 先進国（除く米国） ETF;米国を除く先進国の株式市場の大型株、中型株および小型株で構成されるMSCIワールド（除く米国）投資可能市場インデックスと同等の投資成果をあげることを目指す。;ブラックロック･ファンド・アドバイザーズ;NYSE,none,,msci_world,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IDEV,generated,,,United States,NYSE,IDEV,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE,米国を除く先進国の株式市場の大型株、中型株および小型株で構成されるMSCIワールド（除く米国）投資可能市場インデックスと同等の投資成果をあげることを目指す。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
ITA,iシェアーズ 米国航空宇宙＆防衛 ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,ITA;iシェアーズ 米国航空宇宙＆防衛 ETF;米国の航空宇宙および防衛セクターの株式で構成される指数と同等の投資成果をあげることを目指す。;ブラックロック･ファンド・アドバイザーズ;Cboe,none,,sector,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,ITA,generated,,,United States,Cboe,ITA,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,us,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,Cboe,米国の航空宇宙および防衛セクターの株式で構成される指数と同等の投資成果をあげることを目指す。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IDHQ,インベスコ S&P世界先進国クオリティ ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,IDHQ;インベスコ S&P世界先進国クオリティ ETF;QSG先進国オポチュニティーズ指数に連動する投資成績を目標としている海外ETFです。従来のETFと異なるインテリジェントETFであり、高いパフォーマンスを目指しています。;インベスコ・アセット・マネジメント;NYSE Arca,none,,msci_world,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IDHQ,generated,,,United States,NYSEARCA,IDHQ,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,QSG先進国オポチュニティーズ指数に連動する投資成績を目標としている海外ETFです。従来のETFと異なるインテリジェントETFであり、高いパフォーマンスを目指しています。,,インベスコ・アセット・マネジメント,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IDX,ヴァンエック ベクトル インドネシア インデックス ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,IDX;ヴァンエック ベクトル インドネシア インデックス ETF;インドネシアETFは、ヴァンエック・べクトル・インドネシア・インデックスの価格と利回り（手数料や経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、インドネシアに本社があり主にインドネシアで上場されているか、売上高の50%以上をインドネシア国内の売上高が占めている上場企業へのエクスポージャーを提供します。したがって、当ファンドには同国への投資リスクが伴います。;ヴァン・エック・グローバル;NYSE Arca,none,,india,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IDX,generated,,,United States,NYSEARCA,IDX,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,india,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,インドネシアETFは、ヴァンエック・べクトル・インドネシア・インデックスの価格と利回り（手数料や経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、インドネシアに本社があり主にインドネシアで上場されているか、売上高の50%以上をインドネシア国内の売上高が占めている上場企業へのエクスポージャーを提供します。したがって、当ファンドには同国への投資リスクが伴います。,,ヴァン・エック・グローバル,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IEF,iシェアーズ 米国国債 7-10年 ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,bond,index,IEF;iシェアーズ 米国国債 7-10年 ETF;バークレイズ 米国国債（7-10年）インデックスに連動する。同インデックスは満期まで7年以上10年未満の残存期間を有し、かつ2億5;000万米ドル以上の発行済額面残高を有する、投資適格以上に格付けされた米ドル建ての米国財務省証券での実績を測定する。;ブラックロック･ファンド・アドバイザーズ;NASDAQ,none,,bond,,standard,"index,bond",WARN,LOW,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IEF,generated,,,United States,NASDAQ,IEF,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,bond,us,unknown,"index,bond",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,"バークレイズ 米国国債（7-10年）インデックスに連動する。同インデックスは満期まで7年以上10年未満の残存期間を有し、かつ2億5,000万米ドル以上の発行済額面残高を有する、投資適格以上に格付けされた米ドル建ての米国財務省証券での実績を測定する。",,ブラックロック･ファンド・アドバイザーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IEMG,iシェアーズ・コア MSCI エマージング・マーケット ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,IEMG;iシェアーズ・コア MSCI エマージング・マーケット ETF;MSCIエマージング・マーケットIMIインデックスによって測定される価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。;ブラックロック･ファンド・アドバイザーズ;NYSE Arca,none,,emerging,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IEMG,generated,,,United States,NYSEARCA,IEMG,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,emerging,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,MSCIエマージング・マーケットIMIインデックスによって測定される価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IEV,iシェアーズ ヨーロッパ ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,IEV;iシェアーズ ヨーロッパ ETF;スタンダード&プアーズ ヨーロッパ350 インデックスによって表され、10以上の市場セクターをカバーして地理的／経済的多様性を提供する350の株式銘柄の株価および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。;ブラックロック･ファンド・アドバイザーズ;NYSE Arca,none,,sector,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IEV,generated,,,United States,NYSEARCA,IEV,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NYSE Arca,スタンダード&プアーズ ヨーロッパ350 インデックスによって表され、10以上の市場セクターをカバーして地理的／経済的多様性を提供する350の株式銘柄の株価および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IFGL,iシェアーズ 先進国（除く米国）不動産 ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,reit,index,IFGL;iシェアーズ 先進国（除く米国）不動産 ETF;FTSE EPRA Nareit 先進国（除く米国）不動産インデックスの価格および利回り実績と同等水準の投資性か（報酬および経費控除前）を目指します。このインデックスはカナダ、欧州およびアジアの不動産市場の不動産保有、売買および開発に携わる企業のパフォーマンスを測る指標です。;ブラックロック･ファンド・アドバイザーズ;NASDAQ,none,,reit,,standard,"index,reit,real_estate",WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IFGL,generated,,,United States,NASDAQ,IFGL,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,reit,us,unknown,"index,reit,real_estate",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,FTSE EPRA Nareit 先進国（除く米国）不動産インデックスの価格および利回り実績と同等水準の投資性か（報酬および経費控除前）を目指します。このインデックスはカナダ、欧州およびアジアの不動産市場の不動産保有、売買および開発に携わる企業のパフォーマンスを測る指標です。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IGF,iシェアーズ グローバル・インフラ ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,index,index,IGF;iシェアーズ グローバル・インフラ ETF;iシェアーズ S&P グローバル・インフラストラクチャー・インデックス・ファンドは、S&P グローバル・インフラストラクチャー指数の価格および利回りの実績と同等水準の投資成果（報酬および経費控除前）を目指しています。;ブラックロック･ファンド・アドバイザーズ;NASDAQ,none,,,,standard,index,WARN,MEDIUM,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IGF,generated,,,United States,NASDAQ,IGF,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,equity,global,unknown,index,WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,iシェアーズ S&P グローバル・インフラストラクチャー・インデックス・ファンドは、S&P グローバル・インフラストラクチャー指数の価格および利回りの実績と同等水準の投資成果（報酬および経費控除前）を目指しています。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IGIB,iシェアーズ 米ドル建て社債 5-10年ETF,us,etf,USD,sbi_securities,tradable,unknown,both,true,true,false,false,bond,index,IGIB;iシェアーズ 米ドル建て社債 5-10年ETF;ブルームバーグ・バークレイズ 米国クレジット(1-10年)インデックスに連動する。同インデックスは残存期間が1〜10年で発行残高（額面ベース）2億5000万ドル超の米ドル建て投資適格債券を組み入れている。;ブラックロック･ファンド・アドバイザーズ;NASDAQ,none,,bond,,standard,"index,bond",WARN,LOW,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IGIB,generated,,,United States,NASDAQ,IGIB,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,bond,us,unknown,"index,bond",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,unknown,false,2026-07-10,sbi_overseas_etf,unknown,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,ブルームバーグ・バークレイズ 米国クレジット(1-10年)インデックスに連動する。同インデックスは残存期間が1〜10年で発行残高（額面ベース）2億5000万ドル超の米ドル建て投資適格債券を組み入れている。,,ブラックロック･ファンド・アドバイザーズ,,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
IGOV,iシェアーズ 世界国債（除く米国）ETF,us,etf,USD,sbi_securities,tradable,growth,both,true,true,false,false,bond,index,IGOV;iシェアーズ 世界国債（除く米国）ETF;S&Pシティグループ・インターナショナル・トレジャリー・ボンド・インデックス（除く米国）の価格及び利回りの実績に概ね対応する投資成果（手数料及び経費控除前）をあげることを目標としています。;ブラックロック･ファンド・アドバイザーズ;NASDAQ,none,,bond,,standard,"index,bond",WARN,LOW,sbi_overseas_etf,2026-07-10,2026-07-10T22:44:45.435351+09:00,IGOV,generated,,,United States,NASDAQ,IGOV,United States,USD,USD,USD,USDJPY,us,MEDIUM,unknown,bond,us,unknown,"index,bond",WARN,sbi_official_overseas_etf_list_imported;missing_expense_ratio,tradable,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,confirmed,true,2026-07-10,sbi_overseas_etf,true,not_supported,true,2026-07-10,sbi_overseas_etf,false,米国ETF,NASDAQ,S&Pシティグループ・インターナショナル・トレジャリー・ボンド・インデックス（除く米国）の価格及び利回りの実績に概ね対応する投資成果（手数料及び経費控除前）をあげることを目標としています。,,ブラックロック･ファンド・アドバイザーズ,〇,https://search.sbisec.co.jp/v2/popwin/info/stock/pop6040_etf.html
